PUBCHEM_SID,hERG inhibition (%) at 1uM,hERG inhibition (%) at 10uM,SMILES_unique_largest_fragment,SMILES_Original
85149216,2.65789999999999,-6.91632,CC(=O)O[C@H](COc1c2ccoc2cc2oc(=O)ccc12)C(C)(C)O,O.CC(=O)O[C@H](COC1=C2C=CC(=O)OC2=CC2=C1C=CO2)C(C)(C)O
85149215,15.9491,25.76428,O=CC(=O)c1ccccc1,O.O=CC(=O)C1=CC=CC=C1
85149185,9.7399,23.29218,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)CC(=O)[C@H]12,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)CC(=O)[C@H]12
85149179,14.0645,15.93398,OC[C@@H]1O[C@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O,OC[C@@H]1O[C@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@@H](O)[C@H](O)[C@H]1O
85149178,11.551,17.66578,CC1(C)Oc2ccc3C[C@H](COc3c2C=C1)c1ccc(O)cc1O,CC1(C)OC2=C(C=C1)C1=C(C[C@H](CO1)C1=C(O)C=C(O)C=C1)C=C2
85149177,10.6273,16.26908,C[C@@H]1O[C@@H](O[C@H]2[C@@H](Oc3cc(O)cc(O)c3C2=O)c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2[C@@H](OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O
85149172,14.6462,23.14528,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)c(O)c3)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O
85149170,14.5318,21.55388,COC(=O)C1=CO[C@@H](O)C2C1CC=C2CO,COC(=O)C1=CO[C@@H](O)C2C1CC=C2CO
85149169,12.1695,17.84698,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2[C@@H](C)[C@@H](O)CC12,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2[C@@H](C)[C@@H](O)CC12
85149167,1.23869999999999,-57.37812,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34,COC1=C2OC3=CC=C(C[C@@H]4N(C)CCC5=CC(OC)=C(OC6=C7[C@@H](CC(C=C1)=C2)N(C)CCC7=CC(OC)=C6OC)C=C45)C=C3
85149165,10.43,15.51138,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CCC(=CC1)C(O)=O,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CCC(=CC1)C(O)=O
85149163,12.912,3.60848,CC(=O)OCC1=C[C@@H]2OC(=O)C3=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]1[C@H]23,CC(=O)OCC1=C[C@@H]2OC(=O)C3=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]1[C@H]23
85149157,17.2541,7.69908,CC(=C)[C@@H](O)COc1c2ccoc2cc2oc(=O)ccc12,CC(=C)[C@@H](O)COC1=C2C=CC(=O)OC2=CC2=C1C=CO2
85149153,10.5975,4.55898,COc1cc2oc(=O)ccc2cc1[C@@H](OC(=O)C(\C)=C\C)[C@@H](O)C(C)(C)O,COC1=C(C=C2C=CC(=O)OC2=C1)[C@@H](OC(=O)C(\C)=C\C)[C@@H](O)C(C)(C)O
85149151,13.2107,10.11978,COc1cc2oc(=O)ccc2cc1[C@H](O)[C@@H](O)C(C)(C)O,COC1=C(C=C2C=CC(=O)OC2=C1)[C@H](O)[C@@H](O)C(C)(C)O
85149149,14.4761,21.83008,C\C(CC[C@@H](O)C(C)(C)O)=C/COc1ccc2ccc(=O)oc2c1,C\C(CC[C@@H](O)C(C)(C)O)=C/COC1=CC2=C(C=CC(=O)O2)C=C1
85149148,10.3472,15.45308,CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](O)[C@H]1O,CC1(C)OC2=C([C@@H](O)[C@H]1O)C1=C(C=CC(=O)O1)C=C2
85149147,13.1848,21.74538,CC1(C)Oc2ccc3ccc(=O)oc3c2[C@H](O)[C@H]1O,CC1(C)OC2=C([C@H](O)[C@H]1O)C1=C(C=CC(=O)O1)C=C2
85149146,16.3307,25.71588,CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](O)[C@@H]1O,CC1(C)OC2=C([C@@H](O)[C@@H]1O)C1=C(C=CC(=O)O1)C=C2
85149145,3.5963,3.22628,COC(C)(C)[C@@H](O)COc1c2ccoc2cc2oc(=O)ccc12,COC(C)(C)[C@@H](O)COC1=C2C=CC(=O)OC2=CC2=C1C=CO2
85149144,15.3448,20.92628,CCO[C@@H]1[C@@H](O)C(C)(C)Oc2ccc3ccc(=O)oc3c12,CCO[C@@H]1[C@@H](O)C(C)(C)OC2=C1C1=C(C=CC(=O)O1)C=C2
85149143,14.246,27.36578,CCO[C@H]1[C@H](O)C(C)(C)Oc2ccc3ccc(=O)oc3c12,CCO[C@H]1[C@H](O)C(C)(C)OC2=C1C1=C(C=CC(=O)O1)C=C2
85149141,13.9611,22.31278,CCO[C@H]1[C@@H](O)C(C)(C)Oc2ccc3ccc(=O)oc3c12,CCO[C@H]1[C@@H](O)C(C)(C)OC2=C1C1=C(C=CC(=O)O1)C=C2
85149139,12.1069,-16.46502,CC(C)=CC(=O)O[C@@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,CC(C)=CC(=O)O[C@@H]1CC2=C(OC1(C)C)C=C1OC(=O)C=CC1=C2
85149138,16.3686,19.94308,COc1c2ccoc2c(OC[C@@H](OC(C)=O)C(C)(C)O)c2oc(=O)ccc12,COC1=C2C=COC2=C(OC[C@@H](OC(C)=O)C(C)(C)O)C2=C1C=CC(=O)O2
85149136,7.09779999999999,-21.71372,C\C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1,C\C=C(/C)C(=O)OC(C)(C)[C@@H]1CC2=C(O1)C=C1OC(=O)C=CC1=C2
85149135,13.1678,11.60168,COc1cc2oc(=O)ccc2cc1[C@@H](O)[C@H](OC(=O)C(\C)=C\C)C(C)(C)O,COC1=C(C=C2C=CC(=O)OC2=C1)[C@@H](O)[C@H](OC(=O)C(\C)=C\C)C(C)(C)O
85149134,1.99069999999999,5.93508,COc1cc2oc(=O)ccc2cc1[C@@H](O)[C@@H]1OC(C)(C)OC1(C)C,COC1=C(C=C2C=CC(=O)OC2=C1)[C@@H](O)[C@@H]1OC(C)(C)OC1(C)C
85149132,13.1375,13.81858,O[C@H]1Cc2c(O)cc3OC(C(C(=O)c4c(O)cc(O)cc4O)c3c2O[C@@H]1c1ccc(O)cc1)c1ccc(O)cc1,O[C@H]1CC2=C(O)C=C3OC(C(C(=O)C4=C(O)C=C(O)C=C4O)C3=C2O[C@@H]1C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
85149131,14.5728,23.77538,OC[C@H]1O[C@@H](Oc2ccc3ccc(=O)oc3c2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](OC2=C(O)C3=C(C=CC(=O)O3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O
85149130,11.2308,8.82298,Cc1cc(no1)N(O)C1CCC(=C)C2CC(C)(C)C2CCC1=C,CC1=CC(=NO1)N(O)C1CCC(=C)C2CC(C)(C)C2CCC1=C
85149129,10.9669,12.45638,CC1(C)CC2C1CCC1(O)CC2(C)CCC1N(O)c1ccc(cn1)C(=O)NCCO,CC1(C)CC2C1CCC1(O)CC2(C)CCC1N(O)C1=NC=C(C=C1)C(=O)NCCO
85149128,-4.36660000000001,-32.14582,[O-][N+](=O)c1cc(ccc1N1CC2OCCN2C(=O)C1)C(F)(F)F,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)N1CC2OCCN2C(=O)C1
85149127,9.83709999999999,18.88698,Cc1ccc(cc1)S(=O)(=O)N1CC2OCCN2C(=O)C1,CC1=CC=C(C=C1)S(=O)(=O)N1CC2OCCN2C(=O)C1
85149126,-3.8336,-32.47872,[O-][N+](=O)c1cc(ccc1N1CC2OCCCN2C(=O)C1)C(F)(F)F,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)N1CC2OCCCN2C(=O)C1
85149125,8.9874,-8.03492,Cc1ccc(cc1)S(=O)(=O)N1CC2OCCCN2C(=O)C1,CC1=CC=C(C=C1)S(=O)(=O)N1CC2OCCCN2C(=O)C1
85149123,10.0274,-12.05712,Cc1ccc(cc1)C12OCCN1CCn1nc3ccccc3c21,CC1=CC=C(C=C1)C12OCCN1CCN1N=C3C=CC=CC3=C21
85149122,-11.2214,-42.33182,[O-][n+]1n2CCN3CCOC3(c2c2ccccc12)c1ccc(Cl)cc1,[O-][N+]1=C2C=CC=CC2=C2N1CCN1CCOC21C1=CC=C(Cl)C=C1
85149121,9.67389999999999,2.13638,NC(=O)c1nc(C(=O)N2CCN(CC2)c2ccccc2)c2ccccc2n1,NC(=O)C1=NC2=CC=CC=C2C(=N1)C(=O)N1CCN(CC1)C1=CC=CC=C1
85149120,13.0407,17.08298,NC(=O)c1nc(C(=O)N2CCCCC2)c2ccccc2n1,NC(=O)C1=NC2=CC=CC=C2C(=N1)C(=O)N1CCCCC1
85149119,16.5386,25.77828,Cc1ccc(cc1)C(=O)c1nc(nc2ccccc12)C(=O)NCCO,CC1=CC=C(C=C1)C(=O)C1=NC(=NC2=CC=CC=C12)C(=O)NCCO
85149118,12.4322,-0.748119999999997,OCCNC(=O)c1nc(C(=O)c2ccc(Cl)cc2)c2ccccc2n1,OCCNC(=O)C1=NC2=CC=CC=C2C(=N1)C(=O)C1=CC=C(Cl)C=C1
85149117,14.9052,15.91708,OCCNC(=O)c1nc(C(=O)c2ccccc2)c2ccccc2n1,OCCNC(=O)C1=NC2=CC=CC=C2C(=N1)C(=O)C1=CC=CC=C1
85149116,-5.07680000000001,-42.59292,NCCN1CCN(C=C1c1ccc(Cl)cc1)S(=O)(=O)c1ccc(cc1)[N+]([O-])=O,NCCN1CCN(C=C1C1=CC=C(Cl)C=C1)S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O
85149115,5.00619999999999,-0.332719999999998,COC1=C(C)C(=O)O[C@]11C(=O)C(C)=C2CCCCN3[C@@H](CC[C@]123)[C@@H]1C[C@H](C)C(=O)O1,COC1=C(C)C(=O)O[C@]11C(=O)C(C)=C2CCCCN3[C@@H](CC[C@]123)[C@@H]1C[C@H](C)C(=O)O1
85149114,-5.1719,11.93418,CO[C@@H]1[C@@H]2O[C@]2(CO)[C@@H]2[C@H]1C=CO[C@H]2O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,CO[C@@H]1[C@@H]2O[C@]2(CO)[C@@H]2[C@H]1C=CO[C@H]2O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
85149108,17.1785,40.62348,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C,CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C
85149104,13.4824,21.11578,C[C@]12CCC3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@]1(O)C[C@H](O)[C@@H]2C1=CC(=O)OC1,C[C@]12CCC3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@]1(O)C[C@H](O)[C@@H]2C1=CC(=O)OC1
85149103,10.834,13.87128,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)c2ccc(=O)oc2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C2=COC(=O)C=C2)[C@H](O)[C@H](O)[C@H]1O
85149102,15.3466,20.97528,CC1(C)C[C@H]2C3=CCC4[C@@]5(C)CC[C@H](O)[C@](C)(CO)C5CC[C@@]4(C)[C@]3(C)C[C@H]3O[C@@H]1[C@H](O)[C@@]23CO,CC1(C)C[C@H]2C3=CCC4[C@@]5(C)CC[C@H](O)[C@](C)(CO)C5CC[C@@]4(C)[C@]3(C)C[C@H]3O[C@@H]1[C@H](O)[C@@]23CO
